"Accessoire";"Alimentation";"Application";"Bluetooth";"Branchement";"Bus (FSB)";"Capacite";"Capacite du disque dur (Go)";"Chipset";"Compatibilite";"Connecteur";"Connectique";"Constructeur";"Couleur";"Débit d'air";"Dimensions";"Etat 2";"Facteur de forme";"Format";"Forme ergonomique";"Frequence memoire (MHz)";"Frequence Processeur";"Garantie constructeur";"Garantie Marchand";"Images par seconde";"Interface";"Largeur";"Longueur";"Marque";"Materiau";"Memoire cache de niveau 2";"Memoire (RAM)";"Modele";"Niveau sonore";"Nombre de ports";"Nombre de prises";"Norme";"Options";"Packaging";"Plateforme";"Processeur";"Puissance (W)";"RAM compatible";"Replicateur de port";"Resolution video (pixels)";"Sous-format";"Sous-type ";"Systeme d'exploitation";"Taille de l'ecran";"Technologie";"Titre 2";"Type";"Type 2";"Type d'adapteur";"Type de boitier";"Type de cable";"Type de capteur";"Type de clavier";"Type de connecteur";"Type de souris";"Type de systeme";"Vitesse d'ecriture CD";"Vitesse d'ecriture DVD";"Vitesse de rotation"
"";"";"";"";"";"";"";"";"";"";"";"";"Nortel";"";"";"";"";"";"";"";"";"";"";"";"";"Parallele";"";"";"Audio-Technica";"";"";"";"GeForce FX 5500";"";"";"";"";"";"";"";"ElanSC300";"";"RAMBUS";"";"";"";"Trolley";"Windows Vista Ultimate";"";"";"";"Lecteur interne";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"PNY";"";"";"";"";"";"";"";"";"";"";"";"";"Port Serie";"";"";"Audix";"";"";"";"GeForce FX 5600";"";"";"";"";"";"";"";"H8S";"";"RDRAM";"";"";"";"Waterblock";"Windows XP";"";"";"";"Led";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Pine Technology";"";"";"";"";"";"";"";"";"";"";"";"";"Port parallele";"";"";"Autre";"";"";"";"GeForce FX 5700";"";"";"";"";"";"";"";"Handheld Engine CXD2230GA";"";"RDRAM (Rambus DRAM)";"";"";"";"Wi-Fi";"Windows XP Home Edition";"";"";"";"Line interactive";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Pinnacle";"";"";"";"";"";"";"";"";"";"";"";"";"Port serie";"";"";"Axis";"";"";"";"GeForce FX 5800";"";"";"";"";"";"";"";"Hitachi SH3";"";"RIMM";"";"";"";"";"Windows XP Media Center 2004 Edition";"";"";"";"Loupe";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Pixelview";"";"";"";"";"";"";"";"";"";"";"";"";"Raid";"";"";"BFG";"";"";"";"GeForce FX 5900";"";"";"";"";"";"";"";"Hitachi SH4";"";"ROM";"";"";"";"";"Windows XP Media Center Edition";"";"";"";"Manette";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Pixmania";"";"";"";"";"";"";"";"";"";"";"";"";"SATA";"";"";"Bandridge";"";"";"";"GeForce FX 5950";"";"";"";"";"";"";"";"Intel 386";"";"Rambus Memory";"";"";"";"";"Windows XP Professional Edition";"";"";"";"Memoire";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Point of View";"";"";"";"";"";"";"";"";"";"";"";"";"SCSI";"";"";"Be quiet";"";"";"";"GeForce FX 6600";"";"";"";"";"";"";"";"Intel 486";"";"SDR SDRAM";"";"";"";"";"Windows XP Professional Tablet PC Edition";"";"";"";"Micro a main";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"PowerColor";"";"";"";"";"";"";"";"";"";"";"";"";"SCSI-U160";"";"";"Be-ez";"";"";"";"GeForce FX 7300";"";"";"";"";"";"";"";"Intel Celeron";"";"SDRAM";"";"";"";"";"";"";"";"";"Micro canon";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"PowerLogix";"";"";"";"";"";"";"";"";"";"";"";"";"SCSI-U320";"";"";"Behringer";"";"";"";"GeForce FX 7600";"";"";"";"";"";"";"";"Intel Core Duo";"";"SGRAM";"";"";"";"";"";"";"";"";"Micro cravate";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Sapphire";"";"";"";"";"";"";"";"";"";"";"";"";"SCSI-Ultra";"";"";"Belkin";"";"";"";"GeForce FX 7800";"";"";"";"";"";"";"";"Intel Core Solo";"";"SIMM";"";"";"";"";"";"";"";"";"Micro de studio";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Simpact";"";"";"";"";"";"";"";"";"";"";"";"";"SCSI-Ultra Wide";"";"";"BenQ";"";"";"";"GeForce FX 8800";"";"";"";"";"";"";"";"Intel Itanium";"";"SIPP 30-pin";"";"";"";"";"";"";"";"";"Micro-ATX";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Sparkle";"";"";"";"";"";"";"";"";"";"";"";"";"SCSI-Ultra2";"";"";"Beyerdynamic";"";"";"";"GeForce FX autre";"";"";"";"";"";"";"";"Intel Pentium 4";"";"SO-DIMM";"";"";"";"";"";"";"";"";"Mini micro";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Sun";"";"";"";"";"";"";"";"";"";"";"";"";"SCSI-Ultra3";"";"";"Biostar";"";"";"";"GeForce PCX";"";"";"";"";"";"";"";"Intel Pentium 4 HT";"";"SO-RIMM";"";"";"";"";"";"";"";"";"Neon";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"TerraTec";"";"";"";"";"";"";"";"";"";"";"";"";"SCSI-Wide";"";"";"Bluestork";"";"";"";"GeForce autre";"";"";"";"";"";"";"";"Intel Pentium 4M";"";"SRAM";"";"";"";"";"";"";"";"";"Off-line";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Texas Instruments";"";"";"";"";"";"";"";"";"";"";"";"";"SD";"";"";"Boogie Bug";"";"";"";"MGA";"";"";"";"";"";"";"";"Intel Pentium III";"";"VRAM";"";"";"";"";"";"";"";"";"On-line";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Transmeta";"";"";"";"";"";"";"";"";"";"";"";"";"Sans fil";"";"";"Bose";"";"";"";"Master System";"";"";"";"";"";"";"";"Intel Pentium IIIM";"";"WRAM";"";"";"";"";"";"";"";"";"Parasurtenseur";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Tul";"";"";"";"";"";"";"";"";"";"";"";"";"Serial ATA";"";"";"Cabasse";"";"";"";"Master System 2";"";"";"";"";"";"";"";"Intel Pentium M";"";"";"";"";"";"";"";"";"";"";"Polyvalent";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Twintech";"";"";"";"";"";"";"";"";"";"";"";"";"Serial ATA-150";"";"";"Canon";"";"";"";"Mega CD";"";"";"";"";"";"";"";"Intel StrongARM";"";"";"";"";"";"";"";"";"";"";"Protection";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"VIA";"";"";"";"";"";"";"";"";"";"";"";"";"Serial SCSI";"";"";"Case Logic";"";"";"";"Mega Drive";"";"";"";"";"";"";"";"Intel Xeon";"";"";"";"";"";"";"";"";"";"";"Radiateur, Dissipateur passif";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"XFX";"";"";"";"";"";"";"";"";"";"";"";"";"Serie";"";"";"Chaintech";"";"";"";"Mobility";"";"";"";"";"";"";"";"Intel Xeon MP";"";"";"";"";"";"";"";"";"";"";"Refroidisseur";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Serie ATA";"";"";"Chenbro";"";"";"";"N64";"";"";"";"";"";"";"";"Intel Xscale PXA250";"";"";"";"";"";"";"";"";"";"";"Regulateur de ventilation";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"USB";"";"";"Cherry";"";"";"";"NES";"";"";"";"";"";"";"";"Intel Xscale PXA255";"";"";"";"";"";"";"";"";"";"";"Replicateur de port";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"USB 1.0";"";"";"Chicony";"";"";"";"P650";"";"";"";"";"";"";"";"Intel Xscale PXA261";"";"";"";"";"";"";"";"";"";"";"Reseau, Ethernet";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"USB 1.1";"";"";"Cisco";"";"";"";"P750";"";"";"";"";"";"";"";"Intel Xscale PXA262";"";"";"";"";"";"";"";"";"";"";"SFX";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"USB 2.0";"";"";"Compaq";"";"";"";"PSP";"";"";"";"";"";"";"";"Intel Xscale PXA263";"";"";"";"";"";"";"";"";"";"";"Sacoche";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"XENPAK";"";"";"Connectland";"";"";"";"Parhelia";"";"";"";"";"";"";"";"Intel Xscale PXA270";"";"";"";"";"";"";"";"";"";"";"Sans fil";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"XFP";"";"";"Cooler Master";"";"";"";"Pico";"";"";"";"";"";"";"";"Intel Xscale PXA272";"";"";"";"";"";"";"";"";"";"";"Scanner a defilement";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Coolink";"";"";"";"PlayStation 1";"";"";"";"";"";"";"";"Itanium/Itanium 2";"";"";"";"";"";"";"";"";"";"";"Scanner a main";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Cooltek";"";"";"";"PlayStation 2";"";"";"";"";"";"";"";"MC68SZ328";"";"";"";"";"";"";"";"";"";"";"Scanner a plat";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Corsair";"";"";"";"PlayStation 3";"";"";"";"";"";"";"";"MC68VZ328";"";"";"";"";"";"";"";"";"";"";"Scanner de film";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Creative";"";"";"";"Qid";"";"";"";"";"";"";"";"Mobile Athlon 64";"";"";"";"";"";"";"";"";"";"";"Souris";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Crucial";"";"";"";"Quadro";"";"";"";"";"";"";"";"Mobile Athlon 64 DTR";"";"";"";"";"";"";"";"";"";"";"Souris + clavier";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"D-Link";"";"";"";"Radeon 7000";"";"";"";"";"";"";"";"Mobile Athlon XP";"";"";"";"";"";"";"";"";"";"";"Station d'accueil";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"DFI";"";"";"";"Radeon 8500";"";"";"";"";"";"";"";"Mobile Celeron";"";"";"";"";"";"";"";"";"";"";"Support ventile";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Dacomex";"";"";"";"Radeon 9000";"";"";"";"";"";"";"";"Mobile Centrino Duo";"";"";"";"";"";"";"";"";"";"";"Tablette graphique, Stylet";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Dane Elec";"";"";"";"Radeon 9100";"";"";"";"";"";"";"";"Mobile Duron";"";"";"";"";"";"";"";"";"";"";"Tapis de souris";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Dane-Elec";"";"";"";"Radeon 9200";"";"";"";"";"";"";"";"Mobile Intel Pentium 4 HT";"";"";"";"";"";"";"";"";"";"";"Tour de cou";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Dane-elec";"";"";"";"Radeon 9250";"";"";"";"";"";"";"";"Mobile Pentium 4";"";"";"";"";"";"";"";"";"";"";"USB";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Dell";"";"";"";"Radeon 9500";"";"";"";"";"";"";"";"Mobile Pentium 4 HT";"";"";"";"";"";"";"";"";"";"";"Ventilateur";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Dicota";"";"";"";"Radeon 9550";"";"";"";"";"";"";"";"Mobile Sempron";"";"";"";"";"";"";"";"";"";"";"Ventirad";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"E-MU";"";"";"";"Radeon 9600";"";"";"";"";"";"";"";"Mobile Turion 64";"";"";"";"";"";"";"";"";"";"";"WaterCooling";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ECS";"";"";"";"Radeon 9700";"";"";"";"";"";"";"";"Mobile Turion 64 X2";"";"";"";"";"";"";"";"";"";"";"Webcam personnelle";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"EVGA";"";"";"";"Radeon 9800";"";"";"";"";"";"";"";"Motorola Dragonball";"";"";"";"";"";"";"";"";"";"";"Webcam reseau";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"EbmPapst";"";"";"";"Radeon X1300";"";"";"";"";"";"";"";"NEC MIPS";"";"";"";"";"";"";"";"";"";"";"Wifi";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Edirol";"";"";"";"Radeon X1600";"";"";"";"";"";"";"";"Opteron";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"EkWaterBlocks";"";"";"";"Radeon X1650";"";"";"";"";"";"";"";"Pentium";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Elecom";"";"";"";"Radeon X1800";"";"";"";"";"";"";"";"Pentium 4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ElectroVoice";"";"";"";"Radeon X1900";"";"";"";"";"";"";"";"Pentium 4 Extr. Ed. HT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Elmeg";"";"";"";"Radeon X1950";"";"";"";"";"";"";"";"Pentium 4 HT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Emtec";"";"";"";"Radeon X2900";"";"";"";"";"";"";"";"Pentium 4 M";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Enermax";"";"";"";"Radeon X300";"";"";"";"";"";"";"";"Pentium D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Epox";"";"";"";"Radeon X550";"";"";"";"";"";"";"";"Pentium Extr. Ed.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Epson";"";"";"";"Radeon X600";"";"";"";"";"";"";"";"Pentium II";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Evercool";"";"";"";"Radeon X700";"";"";"";"";"";"";"";"Pentium III";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Expelec";"";"";"";"Radeon X800";"";"";"";"";"";"";"";"Pentium III M";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ExtreMemory";"";"";"";"Radeon X850";"";"";"";"";"";"";"";"Pentium M";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"FIC";"";"";"";"Radeon autre";"";"";"";"";"";"";"";"PowerPC G3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Firstline";"";"";"";"Rage";"";"";"";"";"";"";"";"PowerPC G4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fortron";"";"";"";"Saturn";"";"";"";"";"";"";"";"PowerPC G5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Foxconn";"";"";"";"Super NES";"";"";"";"";"";"";"";"R3900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Freecom";"";"";"";"TNT";"";"";"";"";"";"";"";"R3912";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fuji";"";"";"";"Wii";"";"";"";"";"";"";"";"S3C2410";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fujitsu";"";"";"";"Wildcat";"";"";"";"";"";"";"";"S3C2440";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fujitsu Siemens";"";"";"";"Xbox";"";"";"";"";"";"";"";"SA-1100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fujitsu-Siemens";"";"";"";"Xbox 360";"";"";"";"";"";"";"";"SA-1110";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"G.Skill";"";"";"";"";"";"";"";"";"";"";"";"SH7709a";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"GMC";"";"";"";"";"";"";"";"";"";"";"";"Sempron";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Gateway";"";"";"";"";"";"";"";"";"";"";"";"SiS550";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Geil";"";"";"";"";"";"";"";"";"";"";"";"TX3922";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Generique";"";"";"";"";"";"";"";"";"";"";"";"Texas Instruments OMAP1510";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Genius";"";"";"";"";"";"";"";"";"";"";"";"Texas Instruments OMAP310";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Gericom";"";"";"";"";"";"";"";"";"";"";"";"Texas Instruments OMAP311";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"GigaByte";"";"";"";"";"";"";"";"";"";"";"";"Transmeta Crusoe";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Gigabyte";"";"";"";"";"";"";"";"";"";"";"";"Transmeta Effecion";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"HP";"";"";"";"";"";"";"";"";"";"";"";"VIA C3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"HP/Compaq";"";"";"";"";"";"";"";"";"";"";"";"VR4111";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Hama";"";"";"";"";"";"";"";"";"";"";"";"VR4121";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Harman Kardon";"";"";"";"";"";"";"";"";"";"";"";"VR4122";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Harna";"";"";"";"";"";"";"";"";"";"";"";"VR4131";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Heden";"";"";"";"";"";"";"";"";"";"";"";"Xeon/Xeon MP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Hercules";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Hewlett Packard";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Hewlett-Packard";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Hiper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Hitachi";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Hypertec";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"IBM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ICY Box";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
