"Accessoire";"Alimentation";"Application";"Bluetooth";"Branchement";"Bus (FSB)";"Capacite";"Capacite du disque dur (Go)";"Chipset";"Compatibilite";"Connecteur";"Connectique";"Constructeur";"Couleur";"Débit d'air";"Dimensions";"Etat 2";"Facteur de forme";"Format";"Forme ergonomique";"Frequence memoire (MHz)";"Frequence Processeur";"Garantie constructeur";"Garantie Marchand";"Images par seconde";"Interface";"Largeur";"Longueur";"Marque";"Materiau";"Memoire cache de niveau 2";"Memoire (RAM)";"Modele";"Niveau sonore";"Nombre de ports";"Nombre de prises";"Norme";"Options";"Packaging";"Plateforme";"Processeur";"Puissance (W)";"RAM compatible";"Replicateur de port";"Resolution video (pixels)";"Sous-format";"Sous-type ";"Systeme d'exploitation";"Taille de l'ecran";"Technologie";"Titre 2";"Type";"Type 2";"Type d'adapteur";"Type de boitier";"Type de cable";"Type de capteur";"Type de clavier";"Type de connecteur";"Type de souris";"Type de systeme";"Vitesse d'ecriture CD";"Vitesse d'ecriture DVD";"Vitesse de rotation"
"Carte memoire";"";"";"";"";"";"";"De 61 a 80";"";"IBM";"Socket 4";"Firewire";"BFG";"Jaune";"";"";"";"Mini-ITX";"xD Picture Card";"";"";"";"";"";"";"EIDE";"";"";"AST Ascentia";"";"";"2";"Game Boy";"";"Plus de 8";"9";"Mini USB";"Fixation sur ecran plat";"";"Microsoft";"AMD Athlon 64 FX";"Sans alimentation";"DDR2 SDRAM";"";"176x120";"";"CD-RW/DVD-ROM";"Mac OS X 10.2 Jaguar";"";"";"";"Autre";"64 Mo";"Optique Toslink";"";"FireWire IEEE1394";"";"";"Serie";"";"";"40X";"8X";""
"Enrouleur";"";"";"";"";"";"";"De 81 a 100";"";"Lenovo";"Socket 423";"HDMI";"Celestica";"Marron";"";"";"";"SSI";"";"";"";"";"";"";"";"EIO";"";"";"ATI";"";"";"2 Go";"Game Boy Advance";"";"";"Plus de 10";"PATA";"Flash";"";"Neo Geo";"AMD Athlon 64 X2";"";"DDR2 SO-DIMM";"";"176x144";"";"Cle USB reseau";"Mac OS X 10.3 Panther";"";"";"";"Barebone";"8 Mo";"Parallele";"";"HDD";"";"";"USB 1.1";"";"";"48X";"";""
"Etui";"";"";"";"";"";"";"Moins de 1";"";"Mac";"Socket 462";"HDTV";"Chaintech";"Multicolore";"";"";"";"";"";"";"";"";"";"";"";"Ethernet";"";"";"Abit";"";"";"2000";"Game Boy Advance Micro";"";"";"";"PC100";"Grand angle";"";"Nintendo";"AMD Athlon MP";"";"DDR3";"";"240x180";"";"Coque de protection";"Mac OS X 10.4 Tiger";"";"";"";"Batterie";"Adaptateur manette";"Peritel";"";"HDMI";"";"";"USB 2.0";"";"";"4X";"";""
"Filtre";"";"";"";"";"";"";"Plus de 700";"";"PC";"Socket 478";"Mixte";"Cirrus Logic";"Noir";"";"";"";"";"";"";"";"";"";"";"";"Expansion Slot";"";"";"Accent";"";"";"256";"Game Boy Advance SP";"";"";"";"PC133";"Messagerie video instantanee";"";"PC";"AMD Duron";"";"DIMM";"";"320x240";"";"DAT";"Microsoft Pocket PC 2002";"";"";"";"Bluetooth";"Adaptateur reseau";"RCA";"";"IDE";"";"";"VGA";"";"";"52X";"";""
"Housse";"";"";"";"";"";"";"";"";"Packard Bell";"Socket 479";"PCMCIA";"Cisco";"Orange";"";"";"";"";"";"";"";"";"";"";"";"ExpressCard";"";"";"Acer";"";"";"256 Mo et moins";"Game Boy Color";"";"";"";"PC2-3200";"Micro integre";"";"PC+Mac";"AMD K6/K6-2";"";"DRAM";"";"352x288";"";"DVD+-R";"Microsoft Windows Mobile 2003";"";"";"";"Boitier";"Autre";"S-Video";"";"Imprimante";"";"";"Wi-Fi";"";"";"54X";"";""
"Logiciel complementaire";"";"";"";"";"";"";"";"";"Panasonic";"Socket 5";"Sans fil";"Club 3D";"Rose";"";"";"";"";"";"";"";"";"";"";"";"FATA";"";"";"Acomax";"";"";"32";"Game Gear";"";"";"";"PC2-4200";"Mise au point reglable";"";"PDA";"AMD K7";"";"EDO";"";"384x288";"";"DVD+-R Double couche";"None";"";"";"";"Boitier HTPC";"Cable audio-video";"SCSI";"";"Jack 2.5";"";"";"";"";"";"56X";"";""
"Mousses de remplacement";"";"";"";"";"";"";"";"";"Samsung";"Socket 563";"Sans fil UHF, radio";"Connect 3d";"Rouge";"";"";"";"";"";"";"";"";"";"";"";"FC-AL";"";"";"Adaptec";"";"";"32 Go et plus";"Game Watch";"";"";"";"PC2-4300";"Serre-tete reglable";"";"Sega";"AMD Mobile Athlon 64";"";"EEPROM";"";"480x360";"";"DVD+-RW";"OS2";"";"";"";"Boitier desktop";"Cable de liaison";"SVHS";"";"Jack 3.5";"";"";"";"";"";"6X";"";""
"Pied";"";"";"";"";"";"";"";"";"Sony";"Socket 603";"Sans fil bluetooth";"Cyrix";"Transparent";"";"";"";"";"";"";"";"";"";"";"";"FC-AL-2";"";"";"Adata";"";"";"4";"GameCube";"";"";"";"PC2-5300";"Serveur web integre";"";"Sinclair";"AMD Mobile Athlon XP-M";"";"EPROM";"";"640x360";"";"DVD+-RW Double couche";"Palm OS";"";"";"";"Boitier grand tour";"Cordon d'alimentation";"USB";"";"Jack 6.5";"";"";"";"";"";"8X";"";""
"Pilote";"";"";"";"";"";"";"";"";"Toshiba";"Socket 604";"Sans fil frequence radio";"Dec";"Turquoise";"";"";"";"";"";"";"";"";"";"";"";"Fast Wide SCSI";"";"";"Advance";"";"";"4 Go";"GeForce 2-";"";"";"";"PC2-5400";"Suivi intelligent du visage";"";"Sony";"AMD Mobile Athlon-4";"";"FPM";"";"640x480";"";"DVD+R";"Pre Mac OS 9";"";"";"";"Boitier mini tour";"Extension manette";"XLR";"";"MIDI";"";"";"";"";"";"";"";""
"Pince";"";"";"";"";"";"";"";"";"Universelle";"Socket 7";"Sans fil infrarouge";"Diamond";"Vert";"";"";"";"";"";"";"";"";"";"";"";"Fibre Channel";"";"";"Advent";"";"";"4000";"GeForce 3-";"";"";"";"PC2-6400";"Telecommande sur casque";"";"Unix";"AMD Mobile Duron";"";"FPM RAM";"";"704x576";"";"DVD+R Double couche";"Sun Java Desktop System";"";"";"";"Boitier moyen tour";"Joystick";"";"";"Mini USB";"";"";"";"";"";"";"";""
