"Categorie";"Champ spécifique";"Nom Web Service"
"Téléphonie";"Format";"format_1"
"Téléphonie";"Norme reseau";"norme_reseau"
"Téléphonie";"1952";"1952"
"Téléphonie";"Type";"type_1"
"Téléphonie";"Etat 2";"etat"
"Téléphonie";"Couleur";"couleur"
"Téléphonie";"Marque";"marque"
"Téléphonie";"Titre 2";"titre"
"Téléphonie";"Vitesse de transmission max.";"vitesse"
"Téléphonie";"Technologie d'impression";"impression"
"Téléphonie";"Systeme";"systeme"
"Téléphonie";"Modele";"modele"
"Téléphonie";"Art 2";"art_2"
"Téléphonie";"Accessoire";"accessoires"
"Téléphonie";"Appareil photo";"appareil_photo"
"Téléphonie";"Verrouillage SIM";"verrouillage_sim"
"Téléphonie";"Ecran tactile";"ecran"
"Téléphonie";"Caracteristiques";"caracteristiques"
"Téléphonie";"Numero de serie";"numero_serie"
"Téléphonie";"Sous-format";"sous_format"
"Téléphonie";"Capacite (Mo)";"memoire_ram"
"Téléphonie";"Fonctions";"fonctions"
"Téléphonie";"Certifie Skype";"certifie_skype"
"Téléphonie";"Compatibilite VOIP";"compatibilite_voip"
"Téléphonie";"Repondeur";"repondeur"
"Téléphonie";"Autonomie en veille";"autonomie_veille"
"Téléphonie";"Nombre de combines";"nombre_combines"
"Téléphonie";"Autonomie en communication";"autonomie_communication"
"Téléphonie";"Constructeur";"constructeur"
"Téléphonie";"RNIS (ISDN)";"rnis"
"Téléphonie";"Memoire (pages)";"memoire_pages"
"Téléphonie";"Gamme";"gamme"
"Téléphonie";"Compatible 3g+";"compatibilite"
"Téléphonie";"Wifi";"connexion"
"Téléphonie";"Bluetooth";"bluetooth"
"Téléphonie";"Lecteur mp3";"lecteur"
"Téléphonie";"Nombre de canaux";"nombre_canaux"
"Téléphonie";"Taille de l'écran (pouce)";"taille_ecran"
"Téléphonie";"Champs portée (km)";"portee"
