"Accessoires fournis";"Anti-adhésif";"Arrêt automatique";"Aspiration d'eau et poussière";"Aspirette détachable";"Autonomie";"Autonomie limitée";"Boutonnière automatique";"Brosse spéciale parquet";"Capacite";"Capacite de congelation (/24h)";"Caracteristiques";"Classe energetique";"Combo lave linge / sèche linge";"Combustible";"Compatibilité";"Compatible induction";"Consommation";"Couleur";"Coupe";"Cuisson du four";"Cuisson rapide";"Débit d'air";"Défroissage vertical";"Dégivrage automatique";"Dépression";"Dimensions";"Distributeur boisson";"Double four";"Eclairage intégré";"Electrique";"Encastrable";"Energie four";"Energie plaques";"Etat 2";"Fonction aspirateur";"Fonction baguette";"Fonction brosse";"Fonction laveur";"Fonction pressing";"Fonctions";"Fonction traineau";"Fonction turbo brosse";"Fonction vapeur";"Format piano";"Forme";"Foyer modulable";"Gain de place";"Garantie constructeur";"Garantie Marchand";"Installation";"Largeur";"Manche amovible";"Marque";"Materiau";"Minuteur";"Mode cuisson";"Nettoyage du four";"Niveau sonore";"Nombre de couverts";"Nombre de foyers";"Nombre de plaques";"Nombre de points";"Nombre de tasses";"Nombre d'etoiles";"Nombre de vitesses";"Options";"Ouverture facile";"Poids";"Poignée rabatable";"Pompe à chaleur";"Porte en verre";"Porte froide";"Position du congelateur";"Préparation sans gluten";"Pression";"Programmation électronique";"Puissance (Watts)";"Revêtement céramique";"Sans fil";"Sechage";"Semelle";"Silencieux (- de 56 dB)";"Sous-type";"Style";"Surface de chauffe";"Temps de préparation";"Titre 2";"Touches sensitives";"Type";"Type de chargement";"Type de dosettes";"Type de filtre";"Type de pose";"Utilisation cuisson";"Variateur de vitesse";"Vitesse d'essorage";"Volume total (Litres)";"Zone d' extraction"
"Fouets";"";"";"";"";"32 heures";"";"";"";"100 L";"";"Depart differe";"G";"";"";"";"";"14 L";"Marron";"";"";"";"185 g/mn et plus";"";"";"30 kpa";"Domino";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Autre";"";"Bestron";"Inox";"";"";"";"49 dB";"";"";"";"";"Plus de 8 pots";"";"";"Autre";"";"";"";"";"";"";"";"";"4,5 bars";"";"1501 a 1800W";"";"";"";"";"";"Confiturier";"";"";"7 mn";"";"";"Accessoires hotte";"";"Nespresso";"";"";"";"";"";"";""
"Hachoir";"";"";"";"";"33 hrs";"";"";"";"101 L";"";"Eclairage";"";"";"";"";"";"15 L";"Multicolore";"";"";"";"21 dm3/s";"";"";"31 kpa";"Mini lave-linge";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Grande largeur";"";"Black&amp;Decker";"Metal";"";"";"";"50 dB";"";"";"";"";"";"";"";"Commandes electroniques";"";"";"";"";"";"";"";"";"5 bars";"";"1550 W";"";"";"";"";"";"Convection";"";"";"8 mn";"";"";"Accessoires oenologie";"";"Senseo";"";"";"";"";"";"";""
"Jeu de lame";"";"";"";"";"45 hrs";"";"";"";"107 L";"";"Electronique";"";"";"";"";"";"16 L";"Noir";"";"";"";"23 dm3/s";"";"";"32 kpa";"Mini lave-vaisselle";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Bluesky";"Mixte";"";"";"";"51 dB";"";"";"";"";"";"";"";"Congelation rapide";"";"";"";"";"";"";"";"";"Plus de 200 bars";"";"1600 W";"";"";"";"";"";"Couscoussier, Tajine";"";"";"9 mn";"";"";"Accessoires plaque de cuisson";"";"Tassimo";"";"";"";"";"";"";""
"Non";"";"";"";"";"5 hrs";"";"";"";"11 kg";"";"Enfilage automatique";"";"";"";"";"";"30 L";"Orange";"";"";"";"25 dm3/s";"";"";"33 kpa";"longueur x largeur";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Bob-Home";"Pierre";"";"";"";"52 dB";"";"";"";"";"";"";"";"Controle electronique avec sonde";"";"";"";"";"";"";"";"";"";"";"1800 W";"";"";"";"";"";"Crêpière";"";"";"Autre";"";"";"Accessoires pour animaux";"";"Tchibo";"";"";"";"";"";"";""
"Oui";"";"";"";"";"67 hrs";"";"";"";"115 L";"";"Filtre anti-odeurs";"";"";"";"";"";"39 L";"Rose";"";"";"";"26 dm3/s";"";"";"34 kpa";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Bomann";"Plastique";"";"";"";"53 dB";"";"";"";"";"";"";"";"Controle mecanique par minuterie";"";"";"";"";"";"";"";"";"";"";"1801 a 2000W";"";"";"";"";"";"Cuiseur a oeufs";"";"";"n.c";"";"";"Accessoires repassage";"";"";"";"";"";"";"";"";""
"Pied metal";"";"";"";"";"8 hrs";"";"";"";"116 L";"";"Fonction Pre-clean";"";"";"";"";"";"40 L";"Rouge";"";"";"";"28 dm3/s";"";"";"35 kpa";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Bosch";"Porcelaine";"";"";"";"54 dB";"";"";"";"";"";"";"";"Cuisiniere grande largeur";"";"";"";"";"";"";"";"";"";"";"2000 W";"";"";"";"";"";"Cuiseur a riz";"";"";"";"";"";"Accessoires robot";"";"";"";"";"";"";"";"";""
"Presse-agrume";"";"";"";"";"Non";"";"";"";"117 L";"";"Format de voyage";"";"";"";"";"";"41 L";"Transparent";"";"";"";"29 dm3/s";"";"";"39 kpa";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Brabantia";"Terre cuite";"";"";"";"55 dB";"";"";"";"";"";"";"";"Decongelation rapide";"";"";"";"";"";"";"";"";"";"";"2001 a 2200W";"";"";"";"";"";"Cuiseur vapeur";"";"";"";"";"";"Accessoires réfrigérateur";"";"";"";"";"";"";"";"";""
"Presse-agrumes";"";"";"";"";"Non renseigné";"";"";"";"118 L";"";"Hublot de controle";"";"";"";"";"";"42 L";"Turquoise";"";"";"";"30 dm3/s";"";"";"Non communiqué";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Brandt";"Verre";"";"";"";"56 dB";"";"";"";"";"";"";"";"Degivrage automatique";"";"";"";"";"";"";"";"";"";"";"2200 W";"";"";"";"";"";"Double porte";"";"";"";"";"";"Accessoires électroménager";"";"";"";"";"";"";"";"";""
"Socle, Support mural";"";"";"";"";"Oui";"";"";"";"119 L";"";"Interrupteur";"";"";"";"";"";"43 L";"Vert";"";"";"";"30 g/mn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Braun";"anti-adhérents";"";"";"";"57 dB";"";"";"";"";"";"";"";"Depart differe";"";"";"";"";"";"";"";"";"";"";"2201 a 2499W";"";"";"";"";"";"Electrique";"";"";"";"";"";"Accessoires évier, robinet";"";"";"";"";"";"";"";"";""
"Tamis";"";"";"";"";"Plus de 1h";"";"";"";"12 L";"";"Lavable au lave-vaisselle";"";"";"";"";"";"44 L";"Violet";"";"";"";"31 dm3/s";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Broan-NuTone";"argent";"";"";"";"58 dB";"";"";"";"";"";"";"";"Detecteur de poids";"";"";"";"";"";"";"";"";"";"";"2300 W";"";"";"";"";"";"Electronique";"";"";"";"";"";"Aiguille";"";"";"";"";"";"";"";"";""
