"Année";"Code couleur";"Code matière";"Composition matière";"Couleur";"Domaine d'utilisation";"Entretien";"Etat 2";"Fermeture";"Garantie constructeur";"Garantie Marchand";"Grille de taille";"Hauteur des chaussures";"Hauteur des talons";"Marque Fabricant";"Matiere";"Matière de la semelle";"Matière de la tige";"Matière externe";"Matière interne";"Morphologie du pied";"Pointure";"Public";"Saison";"Sexe";"Sous-type";"Style";"Type";"Type de bout";"Type de sport";"Type de talon";"Usage"
"";"";"";"";"Orange";"";"";"";"";"";"";"US spécifique";"";"";"";"";"";"";"";"";"";"36.5";"";"";"";"";"";"Mules";"";"Gymnastique";"";""
"";"";"";"";"Rose";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"";"";"";"Pantoufle";"";"Handball";"";""
"";"";"";"";"Rose pale";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37.5";"";"";"";"";"";"Plateformes";"";"Hockey sur glace";"";""
"";"";"";"";"Rose vif";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"38";"";"";"";"";"";"Sabots";"";"Hydrospeed";"";""
"";"";"";"";"Rouge";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"38.5";"";"";"";"";"";"Sandales";"";"Judo";"";""
"";"";"";"";"Transparent";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"39";"";"";"";"";"";"Spartiates";"";"Karaté";"";""
"";"";"";"";"Turquoise";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"39.5";"";"";"";"";"";"Tennis";"";"Kendo / Aïkido";"";""
"";"";"";"";"Vert";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40";"";"";"";"";"";"Tongs";"";"Kick boxing";"";""
"";"";"";"";"Vert clair";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.5";"";"";"";"";"";"";"";"Kung Fu";"";""
"";"";"";"";"Vert fonce";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"41";"";"";"";"";"";"";"";"Luge de vitesse";"";""
"";"";"";"";"Violet";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"41.5";"";"";"";"";"";"";"";"Lutte";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"42";"";"";"";"";"";"";"";"Moto";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"42.5";"";"";"";"";"";"";"";"Natation";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"43";"";"";"";"";"";"";"";"Paintball";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"43.5";"";"";"";"";"";"";"";"Parachutisme";"";""
