"AirPlay";"Alarme";"Alimentation";"Autonomie";"Batterie";"Bluetooth";"Caisson basses intégré";"Capacité HDD";"Capacité maximale de RAM";"Capacité maximale de RAM par slot";"Capacité mémoire";"Carte mémoire fournie";"Chipset";"Chipset audio";"Chipset graphique";"Clavier rétroéclairé";"Compatibilité";"Compatible 3D";"Connecteur réseau";"Connecteurs panneau arrière";"Connecteurs panneau avant";"Consommable";"Consommation";"Consommation en veille";"Constructeur";"Contraste";"Contrôleur graphique intégré";"Contrôleur réseau intégré";"Couleur";"Dalle brillante";"DLNA";"Dock";"Dot Pitch";"Ecran tactile";"Emplacement";"Enregistrement HD";"Entrée audio";"Entrée vidéo";"Etanchéité";"Famille OS";"Fixation";"Format boîtier";"Format de disque";"Format de l'écran";"Format du produit";"Fréquence CPU";"Fréquence mémoire";"Fréquence rafraichissement max";"Gamme";"Garantie";"GPS";"Hauteur";"Haut-parleurs";"Hertz";"Infos traffic";"Interface";"Largeur";"Lecteur biométrique";"Lecteur de cartes";"Lecteur de disquettes";"Lecteur intégré";"Lecteur optique";"Longueur";"Luminosité";"Mains libres";"Matière";"Mémoire RAM";"Microphone intégré";"Mode 3D";"Modèle";"Motif";"MP3";"Niveau sonore";"Nombre de barrettes";"Nombre de canaux audio";"Nombre de licences";"Nombre d'emplacements 3,5 pouces";"Nombre d'emplacements 5,25 pouces";"Nombre de ports";"Nombre et type de slots";"Norme";"Norme du clavier";"Norme réseau";"Pages par minute";"Pavé numérique";"Picoprojecteur";"Pile rechargeable";"Pliable";"Portable";"Portée";"Port USB";"Processeur";"Profondeur";"Projecteur";"Puissance sonore";"Radio";"Répondeur";"Résolution max";"Routeur";"Sans-fil"
"";"";"";"";"";"";"";"3 To";"";"";"8 Go";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1.9 m";"";"";"";"";"";"";"";"";"";"";"";"";"8";"";"";"Autre";"";"ATA";"";"";"";"";"";"";"";"";"";"";"AMD Athlon";"";"";"14 W";"";"";"12,2 Mégapixels";"";""
"";"";"";"";"";"";"";"30 Go";"";"";"Autre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2 m";"";"";"";"";"";"";"";"";"";"";"";"";"9";"";"";"De 13 a 16";"";"Autre";"";"";"";"";"";"";"";"";"";"";"AMD Athlon 4 Mobile";"";"";"15 W";"";"";"12,3 Mégapixels";"";""
"";"";"";"";"";"";"";"32 Go";"";"";"Plus de 128 Go";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2.2 m";"";"";"";"";"";"";"";"";"";"";"";"";"Autre";"";"";"De 17 a 24";"";"Cable";"";"";"";"";"";"";"";"";"";"";"AMD Athlon 64";"";"";"150 W";"";"";"12,4 Mégapixels";"";""
"";"";"";"";"";"";"";"320 Go";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2.3 m";"";"";"";"";"";"";"";"";"";"";"";"";"Open Source";"";"";"De 25 a 48";"";"Fibre Channel";"";"";"";"";"";"";"";"";"";"";"AMD Athlon 64 FX";"";"";"16 W";"";"";"12,5 Mégapixels";"";""
"";"";"";"";"";"";"";"4 Go";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2.4 m";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"De 5 a 8";"";"FireWire";"";"";"";"";"";"";"";"";"";"";"AMD Athlon 64 X2";"";"";"17 W";"";"";"12,7 Mégapixels";"";""
"";"";"";"";"";"";"";"400 Go";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2.45 m";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"De 9 a 12";"";"IDE";"";"";"";"";"";"";"";"";"";"";"AMD Athlon MP";"";"";"175 W";"";"";"1280 x 720 pixels";"";""
"";"";"";"";"";"";"";"500 Go";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"20 m";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Moins de 5";"";"Mini USB";"";"";"";"";"";"";"";"";"";"";"AMD Athlon XP";"";"";"18 W";"";"";"1280 x 800 pixels";"";""
"";"";"";"";"";"";"";"60 Go";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"25 m";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Plus de 48";"";"PATA";"";"";"";"";"";"";"";"";"";"";"AMD Athlon XP, XP-M";"";"";"20 W";"";"";"13 Mégapixels";"";""
"";"";"";"";"";"";"";"62 Go";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"30 m";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Plus de 8";"";"PC100";"";"";"";"";"";"";"";"";"";"";"AMD Dual core";"";"";"200 W";"";"";"13,8 Mégapixels";"";""
"";"";"";"";"";"";"";"64 Go";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4.5 m";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PC133";"";"";"";"";"";"";"";"";"";"";"AMD Duron";"";"";"22 W";"";"";"14 Mégapixels";"";""
