"Accueil";"Anti taches";"Code couleur";"Code matière";"Collection";"Couleur dominante";"Dimensions (cm)";"Etat 2";"Finition";"Fixation";"Forme";"Garantie constructeur";"Garantie Marchand";"Grammage";"Grille de taille";"Indice";"Largeur (cm)";"Matiere";"Motif";"Nombre de pieces";"Personnalisation";"Public";"Sous-type";"Style";"Taille";"Transparence";"Type";"Type d'article de couture"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Mousse";"";"";"";"";"Rideau panneau, Paroi japonaise";"";"75x135 cm";"";"Manique";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Naturel";"";"";"";"";"Serviette de plage";"";"75x150 cm";"";"Matelas";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Organdi";"";"";"";"";"Serviette de table";"";"8/10 ans";"";"Matelas Futon";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Organza";"";"";"";"";"Serviette de toilette";"";"80 x 190";"";"Matelas gonflable";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PEVA";"";"";"";"";"Set de table";"";"80 x 200";"";"Matelas latex";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PVC";"";"";"";"";"Sous-nappe";"";"90 x 190";"";"Matelas mousse";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Papier";"";"";"";"";"Tablier de cuisine";"";"90 x 200";"";"Matelas ressorts";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Percale coton";"";"";"";"";"Torchon";"";"90x150 cm";"";"Matelas sur mesure";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Plastique";"";"";"";"";"Tringle classique";"";"Autre";"";"Metrage";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Polyester";"";"";"";"";"Tringle coulissante";"";"";"";"Mouchoir";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Satin";"";"";"";"";"Tringle extensible";"";"";"";"Nappe";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Satin de coton";"";"";"";"";"Voilage";"";"";"";"Nappe pique nique";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Synthetique";"";"";"";"";"";"";"";"";"Oreiller";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Tissu plastifie";"";"";"";"";"";"";"";"";"Oreiller santé";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Toile cirée";"";"";"";"";"";"";"";"";"Paillasson";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traite teflon";"";"";"";"";"";"";"";"";"Panneau japonais";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Viscose";"";"";"";"";"";"";"";"";"Pieds de sommier";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"aluminium";"";"";"";"";"";"";"";"";"Plaid";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"anti-adhérents";"";"";"";"";"";"";"";"";"Protège sommier";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"argent";"";"";"";"";"";"";"";"";"Protège sommier";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"bois";"";"";"";"";"";"";"";"";"Protège table";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"cristal";"";"";"";"";"";"";"";"";"Rideau";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"cuivre";"";"";"";"";"";"";"";"";"Rideau occultant";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"fonte";"";"";"";"";"";"";"";"";"Serviette";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"grès";"";"";"";"";"";"";"";"";"Serviette de table";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"inox";"";"";"";"";"";"";"";"";"Set de table";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"mélanine";"";"";"";"";"";"";"";"";"Sommier coffre";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"métal";"";"";"";"";"";"";"";"";"Sommier déco";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"papier";"";"";"";"";"";"";"";"";"Sommier extra plat";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"plastique";"";"";"";"";"";"";"";"";"Sommier sur mesure";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"porcelaine";"";"";"";"";"";"";"";"";"Sommier à ressorts";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"silicone";"";"";"";"";"";"";"";"";"Sommier électrique";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"tissu";"";"";"";"";"";"";"";"";"Store";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"toile";"";"";"";"";"";"";"";"";"Surmatelas";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"verre";"";"";"";"";"";"";"";"";"Tablier";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"étain";"";"";"";"";"";"";"";"";"Taie d'oreiller-traversin";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Tapis";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Tapis de bain";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Tissu";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Torchon";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traversin";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Vitrage";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Voilage";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Édredon";""
