"Appellation";"Contenance";"Couleur";"Date de fabrication";"Date de peremption";"Designation";"Famille de produit";"Garantie constructeur";"Garantie Marchand";"Millesime";"Nombre de bouteilles";"Pays";"Poids (g)";"Region";"Type"
"Saint Chinian";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Saint-Emilion";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Saint-Estephe";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Saint-Julien";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Sancerre";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Sauternes";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Sylvaner";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Touraine";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Trevallon";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Volnay";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Vouvray";"";"";"";"";"";"";"";"";"";"";"";"";"";""
