"Autres objets";"Bundles";"Classification PEGI";"Couleur";"Date de parution";"Editeur";"Etat";"Etat 2";"Format";"Format de media";"Garantie constructeur";"Garantie Marchand";"Genre";"Jeu en ligne";"Modele";"Nombre de joueurs";"Plateforme";"Sous-genre";"Sous-type";"Systeme d'exploitation";"Titre 2";"Type";"Type accessoire";"Type accessoire 2"
"";"";"";"";"";"";"";"";"";"";"";"";"Jeux de golf";"";"Sony PlayStation 1";"";"";"";"";"";"";"Boîte à formes";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Jeux de hockey";"";"Sony PlayStation 2";"";"";"";"";"";"";"But de foot";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Jeux de pilotage et de course";"";"Sony PlayStation 3";"";"";"";"";"";"";"Cabane";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Jeux de pilotage et de course auto/camion";"";"Vsmile";"";"";"";"";"";"";"Calendrier";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Jeux de pilotage et de course d'avion";"";"";"";"";"";"";"";"";"Camion";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Jeux de pilotage et de course dans l'espace";"";"";"";"";"";"";"";"";"Carabine";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Jeux de pilotage et de course en kart";"";"";"";"";"";"";"";"";"Carte à collectionner";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Jeux de pilotage et de course en moto";"";"";"";"";"";"";"";"";"Circuit";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Jeux de pilotage et de course sur l'eau";"";"";"";"";"";"";"";"";"Coffre à jouets";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Jeux de rôle";"";"";"";"";"";"";"";"";"Coloriage";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Jeux de simulation";"";"";"";"";"";"";"";"";"Console";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Jeux de simulation dans l'espace";"";"";"";"";"";"";"";"";"Console 3DS";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Jeux de simulation de pilotage";"";"";"";"";"";"";"";"";"Console jeux vidéo";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Jeux de simulation de pilotage aérien";"";"";"";"";"";"";"";"";"Console portable";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Jeux de simulation de vie artificielle";"";"";"";"";"";"";"";"";"Corde à sauter";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Jeux de société";"";"";"";"";"";"";"";"";"Coupe";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Jeux de stratégie";"";"";"";"";"";"";"";"";"Cubes";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Jeux de stratégie Armée et Histoire";"";"";"";"";"";"";"";"";"Diapason";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Jeux de stratégie Monde virtuel";"";"";"";"";"";"";"";"";"Doudou";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Jeux de stratégie Science-Fiction";"";"";"";"";"";"";"";"";"Ds";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Jeux de stratégie Tycoon";"";"";"";"";"";"";"";"";"Déguisement";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Jeux de stratégie Vie artificielle";"";"";"";"";"";"";"";"";"Détecteur de métaux";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Jeux de stratégie World Builder";"";"";"";"";"";"";"";"";"Figurine";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Jeux de stratégie au tour par tour";"";"";"";"";"";"";"";"";"Filet";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Jeux de stratégie en temps réel";"";"";"";"";"";"";"";"";"Flipper";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Jeux de vocabulaire";"";"";"";"";"";"";"";"";"Fléchettes";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Jeux multi-joueurs en ligne";"";"";"";"";"";"";"";"";"Garage";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"MMOG ";"";"";"";"";"";"";"";"";"Globe terrestre";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"MMORPG ";"";"";"";"";"";"";"";"";"Gommette";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"RTS ";"";"";"";"";"";"";"";"";"Hélicoptère";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Jeu 3DS";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Jeu coquin";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Jeu de bain";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Jeu de cartes";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Jeu électronique";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Jeux Nintendo DS";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Jeux Nintendo Wii";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Jeux PC";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Jeux PS Vita";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Jeux PS2";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Jeux PS3";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Jeux PSP";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Jeux créatifs";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Jeux de construction";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Jeux de plein air";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Jeux de société";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Jeux vidéo";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Jeux xbox 360";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Jeux éducatifs";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Jouet 1er âge";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Jouet de bain";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Jouet en bois";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Jouet fille";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Jouet garçon";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Lit poupée";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Livre";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Livre premier âge";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Maison de poupée";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Maison enfant";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Mappemonde";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Maquette";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Marionnette";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Masque";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Microscope";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Moto";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Moulage";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Ordinateur éducatif";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Panier de basket";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Pelle";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Peluche";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Perles";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Perroquet";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Perruque";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Piano";"";""
